"phenx","icd10_desc","combo","organ","subcombo"
"Abnormal findings without diagnosis","Abnormal electrocardiogram [ECG] [EKG]","Abnormal Labs/Tests","Cardiovascular",NA
"Abnormal findings without diagnosis","Abnormal findings on diagnostic imaging of heart and coronary circulation","Abnormal Labs/Tests","Cardiovascular",NA
"Abnormal findings without diagnosis","Abnormal result of cardiovascular function study, unspecified","Abnormal Labs/Tests","Cardiovascular",NA
"Abnormal findings without diagnosis","Abnormal result of other cardiovascular function study","Abnormal Labs/Tests","Cardiovascular",NA
"Cardiac dysrhythmias","Atrial premature depolarization","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Atypical atrial flutter","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Cardiac arrhythmia, unspecified","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Junctional premature depolarization","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Other specified cardiac arrhythmias","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Paroxysmal atrial fibrillation","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Paroxysmal tachycardia, unspecified","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Sick sinus syndrome","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Supraventricular tachycardia","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Typical atrial flutter","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Unspecified atrial fibrillation","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Unspecified atrial flutter","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Ventricular premature depolarization","Dysrhythmias","Cardiovascular",NA
"Cardiac dysrhythmias","Ventricular tachycardia","Dysrhythmias","Cardiovascular",NA
"Cardiovascular Procedures",NA,"Cardiovascular Procedures","Cardiovascular",NA
"Circulatory signs and symptoms","Benign and innocent cardiac murmurs","Circulatory s/s","Cardiovascular","Murmur"
"Circulatory signs and symptoms","Bradycardia, unspecified","Circulatory s/s","Cardiovascular","Bradycardia"
"Circulatory signs and symptoms","Cardiac murmur, unspecified","Circulatory s/s","Cardiovascular","Murmur"
"Circulatory signs and symptoms","Elevated blood-pressure reading, without diagnosis of hypertension","Circulatory s/s","Cardiovascular","Hypertension"
"Circulatory signs and symptoms","Hemorrhage, not elsewhere classified","Circulatory s/s","Cardiovascular","Hemorrhage"
"Circulatory signs and symptoms","Nonspecific low blood-pressure reading","Circulatory s/s","Cardiovascular","Hypotension"
"Circulatory signs and symptoms","Other abnormalities of heart beat","Circulatory s/s","Cardiovascular","Other"
"Circulatory signs and symptoms","Other cardiac sounds","Circulatory s/s","Cardiovascular","Other"
"Circulatory signs and symptoms","Other specified symptoms and signs involving the circulatory and respiratory systems","Circulatory s/s","Cardiovascular","Other"
"Circulatory signs and symptoms","Palpitations","Circulatory s/s","Cardiovascular","Palpitation"
"Circulatory signs and symptoms","Tachycardia, unspecified","Circulatory s/s","Cardiovascular","Tachycardia"
"Circulatory signs and symptoms","Unspecified abnormalities of heart beat","Circulatory s/s","Cardiovascular","Other"
"Conduction disorders","Atrioventricular block, complete","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Atrioventricular block, first degree","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Atrioventricular block, second degree","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Bifascicular block","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Conduction disorder, unspecified","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Encounter for adjustment and management of other part of cardiac pacemaker","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Left anterior fascicular block","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Left bundle-branch block, unspecified","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Long QT syndrome","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Nonspecific intraventricular block","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Other atrioventricular block","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Other specified conduction disorders","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Other specified heart block","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Pre-excitation syndrome","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Presence of cardiac pacemaker","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Trifascicular block","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Unspecified atrioventricular block","Conduction disorders","Cardiovascular",NA
"Conduction disorders","Unspecified right bundle-branch block","Conduction disorders","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Acute ischemic heart disease, unspecified","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Angina pectoris with documented spasm","Coronary atherosclerosis","Cardiovascular",NA
"Coronary atherosclerosis and other heart disease","Angina pectoris, unspecified","Coronary atherosclerosis","Cardiovascular",NA
