phenx,ICD10_desc,combo,Organ,count,Subcombo
Abnormal findings without diagnosis,Abnormal electrocardiogram [ECG] [EKG],Abnormal Labs/Tests,Cardiovascular,196,
Abnormal findings without diagnosis,Abnormal findings on diagnostic imaging of heart and coronary circulation,Abnormal Labs/Tests,Cardiovascular,17,
Abnormal findings without diagnosis,"Abnormal result of cardiovascular function study, unspecified",Abnormal Labs/Tests,Cardiovascular,6,
Abnormal findings without diagnosis,Abnormal result of other cardiovascular function study,Abnormal Labs/Tests,Cardiovascular,12,
Cardiac dysrhythmias,Atrial premature depolarization,Dysrhythmias,Cardiovascular,29,
Cardiac dysrhythmias,Atypical atrial flutter,Dysrhythmias,Cardiovascular,3,
Cardiac dysrhythmias,"Cardiac arrhythmia, unspecified",Dysrhythmias,Cardiovascular,350,
Cardiac dysrhythmias,Junctional premature depolarization,Dysrhythmias,Cardiovascular,1,
Cardiac dysrhythmias,Other specified cardiac arrhythmias,Dysrhythmias,Cardiovascular,73,
Cardiac dysrhythmias,Paroxysmal atrial fibrillation,Dysrhythmias,Cardiovascular,179,
Cardiac dysrhythmias,"Paroxysmal tachycardia, unspecified",Dysrhythmias,Cardiovascular,4,
Cardiac dysrhythmias,Sick sinus syndrome,Dysrhythmias,Cardiovascular,14,
Cardiac dysrhythmias,Supraventricular tachycardia,Dysrhythmias,Cardiovascular,135,
Cardiac dysrhythmias,Typical atrial flutter,Dysrhythmias,Cardiovascular,19,
Cardiac dysrhythmias,Unspecified atrial fibrillation,Dysrhythmias,Cardiovascular,203,
Cardiac dysrhythmias,Unspecified atrial flutter,Dysrhythmias,Cardiovascular,46,
Cardiac dysrhythmias,Ventricular premature depolarization,Dysrhythmias,Cardiovascular,83,
Cardiac dysrhythmias,Ventricular tachycardia,Dysrhythmias,Cardiovascular,63,
Cardiovascular Procedures,NA,Cardiovascular Procedures,Cardiovascular,12,
Circulatory signs and symptoms,Benign and innocent cardiac murmurs,Circulatory s/s,Cardiovascular,10,Murmur
Circulatory signs and symptoms,"Bradycardia, unspecified",Circulatory s/s,Cardiovascular,654,Bradycardia
Circulatory signs and symptoms,"Cardiac murmur, unspecified",Circulatory s/s,Cardiovascular,218,Murmur
Circulatory signs and symptoms,"Elevated blood-pressure reading, without diagnosis of hypertension",Circulatory s/s,Cardiovascular,881,Hypertension
Circulatory signs and symptoms,"Hemorrhage, not elsewhere classified",Circulatory s/s,Cardiovascular,79,Hemorrhage
Circulatory signs and symptoms,Nonspecific low blood-pressure reading,Circulatory s/s,Cardiovascular,11,Hypotension
Circulatory signs and symptoms,Other abnormalities of heart beat,Circulatory s/s,Cardiovascular,6,Other
Circulatory signs and symptoms,Other cardiac sounds,Circulatory s/s,Cardiovascular,2,Other
Circulatory signs and symptoms,Other specified symptoms and signs involving the circulatory and respiratory systems,Circulatory s/s,Cardiovascular,430,Other
Circulatory signs and symptoms,Palpitations,Circulatory s/s,Cardiovascular,1866,Palpitation
Circulatory signs and symptoms,"Tachycardia, unspecified",Circulatory s/s,Cardiovascular,1397,Tachycardia
Circulatory signs and symptoms,Unspecified abnormalities of heart beat,Circulatory s/s,Cardiovascular,8,Other
Conduction disorders,"Atrioventricular block, complete",Conduction disorders,Cardiovascular,11,
Conduction disorders,"Atrioventricular block, first degree",Conduction disorders,Cardiovascular,13,
Conduction disorders,"Atrioventricular block, second degree",Conduction disorders,Cardiovascular,6,
Conduction disorders,Bifascicular block,Conduction disorders,Cardiovascular,3,
Conduction disorders,"Conduction disorder, unspecified",Conduction disorders,Cardiovascular,11,
Conduction disorders,Encounter for adjustment and management of other part of cardiac pacemaker,Conduction disorders,Cardiovascular,2,
Conduction disorders,Left anterior fascicular block,Conduction disorders,Cardiovascular,9,
Conduction disorders,"Left bundle-branch block, unspecified",Conduction disorders,Cardiovascular,21,
Conduction disorders,Long QT syndrome,Conduction disorders,Cardiovascular,2,
Conduction disorders,Nonspecific intraventricular block,Conduction disorders,Cardiovascular,4,
Conduction disorders,Other atrioventricular block,Conduction disorders,Cardiovascular,6,
Conduction disorders,Other specified conduction disorders,Conduction disorders,Cardiovascular,1,
Conduction disorders,Other specified heart block,Conduction disorders,Cardiovascular,6,
Conduction disorders,Pre-excitation syndrome,Conduction disorders,Cardiovascular,4,
Conduction disorders,Presence of cardiac pacemaker,Conduction disorders,Cardiovascular,17,
Conduction disorders,Trifascicular block,Conduction disorders,Cardiovascular,1,
Conduction disorders,Unspecified atrioventricular block,Conduction disorders,Cardiovascular,5,
Conduction disorders,Unspecified right bundle-branch block,Conduction disorders,Cardiovascular,32,
Coronary atherosclerosis and other heart disease,"Acute ischemic heart disease, unspecified",Coronary atherosclerosis,Cardiovascular,21,
Coronary atherosclerosis and other heart disease,Angina pectoris with documented spasm,Coronary atherosclerosis,Cardiovascular,2,
Coronary atherosclerosis and other heart disease,"Angina pectoris, unspecified",Coronary atherosclerosis,Cardiovascular,16,
Coronary atherosclerosis and other heart disease,Atherosclerosis of bypass graft of coronary artery of transplanted heart without angina pectoris,Coronary atherosclerosis,Cardiovascular,2,
Coronary atherosclerosis and other heart disease,Atherosclerosis of coronary artery bypass graft(s) without angina pectoris,Coronary atherosclerosis,Cardiovascular,1,
Coronary atherosclerosis and other heart disease,Atherosclerosis of native coronary artery of transplanted heart with unstable angina,Coronary atherosclerosis,Cardiovascular,1,
Coronary atherosclerosis and other heart disease,Atherosclerosis of native coronary artery of transplanted heart without angina pectoris,Coronary atherosclerosis,Cardiovascular,1,
Coronary atherosclerosis and other heart disease,Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm,Coronary atherosclerosis,Cardiovascular,1,
Coronary atherosclerosis and other heart disease,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,Coronary atherosclerosis,Cardiovascular,35,
Coronary atherosclerosis and other heart disease,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,Coronary atherosclerosis,Cardiovascular,27,
Coronary atherosclerosis and other heart disease,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,Coronary atherosclerosis,Cardiovascular,21,
Coronary atherosclerosis and other heart disease,Atherosclerotic heart disease of native coronary artery without angina pectoris,Coronary atherosclerosis,Cardiovascular,374,
Coronary atherosclerosis and other heart disease,"Chronic ischemic heart disease, unspecified",Coronary atherosclerosis,Cardiovascular,16,
Coronary atherosclerosis and other heart disease,Chronic total occlusion of coronary artery,Coronary atherosclerosis,Cardiovascular,2,
Coronary atherosclerosis and other heart disease,Coronary angioplasty status,Coronary atherosclerosis,Cardiovascular,4,
Coronary atherosclerosis and other heart disease,Coronary atherosclerosis due to calcified coronary lesion,Coronary atherosclerosis,Cardiovascular,24,
Coronary atherosclerosis and other heart disease,Coronary atherosclerosis due to lipid rich plaque,Coronary atherosclerosis,Cardiovascular,6,
Coronary atherosclerosis and other heart disease,Old myocardial infarction,Coronary atherosclerosis,Cardiovascular,33,
Coronary atherosclerosis and other heart disease,Other forms of acute ischemic heart disease,Coronary atherosclerosis,Cardiovascular,10,
Coronary atherosclerosis and other heart disease,Other forms of angina pectoris,Coronary atherosclerosis,Cardiovascular,251,
Coronary atherosclerosis and other heart disease,Presence of aortocoronary bypass graft,Coronary atherosclerosis,Cardiovascular,17,
Coronary atherosclerosis and other heart disease,Presence of coronary angioplasty implant and graft,Coronary atherosclerosis,Cardiovascular,18,
Coronary atherosclerosis and other heart disease,Unstable angina,Coronary atherosclerosis,Cardiovascular,32,
"Diabetes mellitus, Type 2",Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,Diabetic Complication,Cardiovascular,3,
"Diabetes mellitus, Type 2",Type 2 diabetes mellitus with other circulatory complications,Diabetic Complication,Cardiovascular,7,
HTN; heart,Hypertensive heart disease with heart failure,HTN heart dz,Cardiovascular,28,
HTN; heart,Hypertensive heart disease without heart failure,HTN heart dz,Cardiovascular,25,
Heart failure,Acute combined systolic (congestive) and diastolic (congestive) heart failure,Heart failure,Cardiovascular,8,
Heart failure,Acute diastolic (congestive) heart failure,Heart failure,Cardiovascular,56,
Heart failure,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,Heart failure,Cardiovascular,13,
Heart failure,Acute on chronic diastolic (congestive) heart failure,Heart failure,Cardiovascular,76,
Heart failure,Acute on chronic systolic (congestive) heart failure,Heart failure,Cardiovascular,22,
Heart failure,Acute systolic (congestive) heart failure,Heart failure,Cardiovascular,46,
Heart failure,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,Heart failure,Cardiovascular,5,
Heart failure,Chronic diastolic (congestive) heart failure,Heart failure,Cardiovascular,79,
Heart failure,Chronic systolic (congestive) heart failure,Heart failure,Cardiovascular,38,
Heart failure,"Heart failure, unspecified",Heart failure,Cardiovascular,129,
Heart failure,"Left ventricular failure, unspecified",Heart failure,Cardiovascular,4,
Heart failure,Presence of heart assist device,Heart failure,Cardiovascular,1,
Heart failure,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,Heart failure,Cardiovascular,1,
Heart failure,Unspecified diastolic (congestive) heart failure,Heart failure,Cardiovascular,52,
Heart failure,Unspecified systolic (congestive) heart failure,Heart failure,Cardiovascular,68,
Myocarditis and cardiomyopathy,"Acute myocarditis, unspecified",Myocarditis and cardiomyopathy,Cardiovascular,5,
Myocarditis and cardiomyopathy,Alcoholic cardiomyopathy,Myocarditis and cardiomyopathy,Cardiovascular,1,
Myocarditis and cardiomyopathy,Cardiomyopathy due to drug and external agent,Myocarditis and cardiomyopathy,Cardiovascular,10,
Myocarditis and cardiomyopathy,Cardiomyopathy in diseases classified elsewhere,Myocarditis and cardiomyopathy,Cardiovascular,8,
Myocarditis and cardiomyopathy,"Cardiomyopathy, unspecified",Myocarditis and cardiomyopathy,Cardiovascular,93,
Myocarditis and cardiomyopathy,Dilated cardiomyopathy,Myocarditis and cardiomyopathy,Cardiovascular,34,
Myocarditis and cardiomyopathy,Infective myocarditis,Myocarditis and cardiomyopathy,Cardiovascular,6,
Myocarditis and cardiomyopathy,Ischemic cardiomyopathy,Myocarditis and cardiomyopathy,Cardiovascular,58,
Myocarditis and cardiomyopathy,Isolated myocarditis,Myocarditis and cardiomyopathy,Cardiovascular,5,
Myocarditis and cardiomyopathy,Myocarditis in diseases classified elsewhere,Myocarditis and cardiomyopathy,Cardiovascular,1,
Myocarditis and cardiomyopathy,"Myocarditis, unspecified",Myocarditis and cardiomyopathy,Cardiovascular,13,
Myocarditis and cardiomyopathy,Obstructive hypertrophic cardiomyopathy,Myocarditis and cardiomyopathy,Cardiovascular,6,
Myocarditis and cardiomyopathy,Other acute myocarditis,Myocarditis and cardiomyopathy,Cardiovascular,2,
Myocarditis and cardiomyopathy,Other cardiomyopathies,Myocarditis and cardiomyopathy,Cardiovascular,42,
Myocarditis and cardiomyopathy,Other hypertrophic cardiomyopathy,Myocarditis and cardiomyopathy,Cardiovascular,30,
Myocarditis and cardiomyopathy,Other restrictive cardiomyopathy,Myocarditis and cardiomyopathy,Cardiovascular,3,
Myocarditis and cardiomyopathy,Peripartum cardiomyopathy,Myocarditis and cardiomyopathy,Cardiovascular,1,
Myocarditis and cardiomyopathy,Viral cardiomyopathy,Myocarditis and cardiomyopathy,Cardiovascular,4,
Myocarditis and cardiomyopathy,Viral myocarditis,Myocarditis and cardiomyopathy,Cardiovascular,2,
Nonspecific chest pain,"Chest pain, unspecified",Circulatory s/s,Cardiovascular,585,Chest pain
Nonspecific chest pain,Other chest pain,Circulatory s/s,Cardiovascular,430,Chest pain
Nonspecific chest pain,Precordial pain,Circulatory s/s,Cardiovascular,45,Chest pain
Other specified and unspecified circulatory disease,Abdominal aortic ectasia,Circulatory disorder,Cardiovascular,7,
Other specified and unspecified circulatory disease,"Aortic ectasia, unspecified site",Circulatory disorder,Cardiovascular,11,
Other specified and unspecified circulatory disease,Arterial fibromuscular dysplasia,Circulatory disorder,Cardiovascular,18,
Other specified and unspecified circulatory disease,"Arteriovenous fistula, acquired",Circulatory disorder,Cardiovascular,8,
Other specified and unspecified circulatory disease,Celiac artery compression syndrome,Circulatory disorder,Cardiovascular,9,
Other specified and unspecified circulatory disease,"Disease of capillaries, unspecified",Circulatory disorder,Cardiovascular,1,
Other specified and unspecified circulatory disease,"Disorder of arteries and arterioles, unspecified",Circulatory disorder,Cardiovascular,17,
Other specified and unspecified circulatory disease,Hereditary hemorrhagic telangiectasia,Circulatory disorder,Cardiovascular,1,
Other specified and unspecified circulatory disease,"Nevus, non-neoplastic",Circulatory disorder,Cardiovascular,21,
Other specified and unspecified circulatory disease,Other diseases of capillaries,Circulatory disorder,Cardiovascular,2,
Other specified and unspecified circulatory disease,Other disorder of circulatory system,Circulatory disorder,Cardiovascular,17,
Other specified and unspecified circulatory disease,Other specified disorders of arteries and arterioles,Circulatory disorder,Cardiovascular,12,
Other specified and unspecified circulatory disease,Rupture of artery,Circulatory disorder,Cardiovascular,2,
Other specified and unspecified circulatory disease,Stricture of artery,Circulatory disorder,Cardiovascular,11,
Other specified and unspecified circulatory disease,Thoracic aortic ectasia,Circulatory disorder,Cardiovascular,66,
Other specified and unspecified circulatory disease,Unspecified disorder of circulatory system,Circulatory disorder,Cardiovascular,4,
Postthrombotic syndrome and venous insufficiency/hypertension,Chronic venous hypertension (idiopathic) with inflammation of left lower extremity,Venous HTN/Insufficiency ,Cardiovascular,1,
