Unnamed: 0,concept_cd,ICD_Description,Long_COVID_Likelihood_Speculative,Explanation_Speculative,Chronic_Status,Chronic_Explanation
1,ICD10:R14.0,Abdominal distension (gaseous),Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
2,ICD10:R10.819,"Abdominal tenderness, unspecified site",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
3,ICD10:R10.0,Acute abdomen,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
4,ICD10:R13.0,Aphagia,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
5,ICD10:R19.4,Change in bowel habit,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
6,ICD10:R10.83,Colic,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
7,ICD10:R19.7,"Diarrhea, unspecified",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
8,ICD10:R10.816,Epigastric abdominal tenderness,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
9,ICD10:R10.13,Epigastric pain,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
10,ICD10:R19.06,"Epigastric swelling, mass or lump",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
11,ICD10:R14.2,Eructation,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
12,ICD10:R15.1,Fecal smearing,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
13,ICD10:R15.2,Fecal urgency,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
14,ICD10:R14.3,Flatulence,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
15,ICD10:R15.9,Full incontinence of feces,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
16,ICD10:R14.1,Gas pain,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
17,ICD10:R10.84,Generalized abdominal pain,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
18,ICD10:R19.07,"Generalized intra-abdominal and pelvic swelling, mass and lump",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
19,ICD10:R19.6,Halitosis,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
20,ICD10:R12,Heartburn,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
21,ICD10:R16.2,"Hepatomegaly with splenomegaly, not elsewhere classified",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
22,ICD10:R16.0,"Hepatomegaly, not elsewhere classified",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
23,ICD10:R19.12,Bowel sounds,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
24,ICD10:R15.0,Incomplete defecation,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
