"concept_cd","ICD_Description","Long_COVID_Likelihood_Speculative","Explanation_Speculative","Chronic_Status","Chronic_Explanation"
"ICD10:R14.0","Abdominal distension (gaseous)","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.819","Abdominal tenderness, unspecified site","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.0","Acute abdomen","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R13.0","Aphagia","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.4","Change in bowel habit","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.83","Colic","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.7","Diarrhea, unspecified","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.816","Epigastric abdominal tenderness","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.13","Epigastric pain","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.06","Epigastric swelling, mass or lump","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R14.2","Eructation","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R15.1","Fecal smearing","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R15.2","Fecal urgency","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R14.3","Flatulence","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R15.9","Full incontinence of feces","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R14.1","Gas pain","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.84","Generalized abdominal pain","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.07","Generalized intra-abdominal and pelvic swelling, mass and lump","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.6","Halitosis","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R12","Heartburn","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R16.2","Hepatomegaly with splenomegaly, not elsewhere classified","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R16.0","Hepatomegaly, not elsewhere classified","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R19.12","Bowel sounds","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R15.0","Incomplete defecation","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.00","Intra-abdominal and pelvic swelling, mass and lump, unspecified site","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.04","Left lower quadrant abdominal swelling, mass and lump","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.814","Left lower quadrant abdominal tenderness","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.32","Left lower quadrant pain","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.02","Left upper quadrant abdominal swelling, mass and lump","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.812","Left upper quadrant abdominal tenderness","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.12","Left upper quadrant pain","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.822","Left upper quadrant rebound abdominal tenderness","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.30","Lower abdominal pain, unspecified","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R18.8","Other ascites","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R19.5","Other fecal abnormalities","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.09","Other intra-abdominal and pelvic swelling, mass and lump","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.8","Other specified symptoms involving digestive system","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.2","Pelvic and perineal pain","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.05","Periumbilic swelling, mass or lump","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.33","Periumbilical pain","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.03","Right lower quadrant abdominal swelling, mass and lump","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.813","Right lower quadrant abdominal tenderness","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.31","Right lower quadrant pain","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.01","Right upper quadrant abdominal swelling, mass and lump","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.811","Right upper quadrant abdominal tenderness","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R10.11","Right upper quadrant pain","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R16.1","Splenomegaly, not elsewhere classified","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R10.9","Unspecified abdominal pain","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R17","Unspecified jaundice","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R10.10","Upper abdominal pain, unspecified","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R19.2","Visible peristalsis","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R94.120","Abnormal pulmonary function study","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R79.81","Abnormal blood-gas level","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R79.1","Abnormal coagulation profile","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R83.6","Abnormal findings in cerebrospinal fluid (R83.6)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R85.69","Abnormal findings in specimens from female genital organs (R85.69)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R89.6","Abnormal findings in specimens from other organs, systems and tissues (R89.6)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R84.6","Abnormal findings in specimens from respiratory organs and thorax (R84.6)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.31","Abnormal electrocardiogram [ECG] [EKG]","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.01","Abnormal electrocardiogram [ECG] [EKG]","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.131","Abnormal hepatic function study","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R79.9","Abnormal finding of blood chemistry, unspecified","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R93.1","Abnormal findings on diagnostic imaging of other body structures (R93.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R93.6","Abnormal findings on diagnostic imaging of other body structures (R93.6)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R93.2","Abnormal findings on diagnostic imaging of other body structures (R93.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R93.5","Abnormal findings on diagnostic imaging of other body structures (R93.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R93.3","Abnormal findings on diagnostic imaging of other body structures (R93.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"7934","Unknown category (7934)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R93.7","Abnormal findings on diagnostic imaging of other body structures (R93.7)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R93.0","Abnormal findings on diagnostic imaging of other body structures (R93.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R85.7","Abnormal findings in specimens from female genital organs (R85.7)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R76.9","Other specified abnormal findings (R76)","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R89.4","Abnormal findings in specimens from other organs, systems and tissues (R89.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R78.71","Other specified abnormal findings (R78)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R79.0","Abnormal level of blood mineral","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R89.1","Abnormal findings in specimens from other organs, systems and tissues (R89.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R89.2","Abnormal findings in specimens from other organs, systems and tissues (R89.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R74.8","Abnormal levels of other serum enzymes","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.5","Abnormal findings in specimens from female genital organs (R87.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R84.5","Abnormal findings in specimens from respiratory organs and thorax (R84.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.30","Abnormal result of cardiovascular function study, unspecified","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.39","Abnormal result of other cardiovascular function study","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.8","Abnormal results of function studies of other organs and systems","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.4","Abnormal results of kidney function studies","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.5","Abnormal results of liver function studies","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.7","Abnormal results of other endocrine function studies","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.09","Abnormal result of other cardiovascular function study","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.2","Abnormal results of pulmonary function studies","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R94.6","Abnormal results of thyroid function studies","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
